strain_entity_id,lineage_95_block,formal_fold,role
STRAIN_000001,ANI95_0002,5,INNER_TRAIN
STRAIN_000002,ANI95_0001,5,INNER_TRAIN
STRAIN_000007,ANI95_0002,5,INNER_TRAIN
STRAIN_000008,ANI95_0002,5,INNER_TRAIN
STRAIN_000009,ANI95_0002,5,INNER_TRAIN
STRAIN_000010,ANI95_0002,5,INNER_TRAIN
STRAIN_000011,ANI95_0002,5,INNER_TRAIN
STRAIN_000013,ANI95_0002,5,INNER_TRAIN
STRAIN_000014,ANI95_0002,5,INNER_TRAIN
STRAIN_000016,ANI95_0003,5,INNER_TRAIN
STRAIN_000018,ANI95_0002,5,INNER_TRAIN
STRAIN_000019,ANI95_0002,5,INNER_TRAIN
STRAIN_000020,ANI95_0002,5,INNER_TRAIN
STRAIN_000021,ANI95_0002,5,INNER_TRAIN
STRAIN_000022,ANI95_0002,5,INNER_TRAIN
STRAIN_000023,ANI95_0002,5,INNER_TRAIN
STRAIN_000024,ANI95_0013,5,INNER_TRAIN
STRAIN_000025,ANI95_0001,5,INNER_TRAIN
STRAIN_000026,ANI95_0002,5,INNER_TRAIN
STRAIN_000027,ANI95_0002,5,INNER_TRAIN
STRAIN_000030,ANI95_0002,5,INNER_TRAIN
STRAIN_000031,ANI95_0009,5,INNER_TRAIN
STRAIN_000034,ANI95_0002,5,INNER_TRAIN
STRAIN_000035,ANI95_0001,5,INNER_TRAIN
STRAIN_000036,ANI95_0001,5,INNER_TRAIN
STRAIN_000037,ANI95_0001,5,INNER_TRAIN
STRAIN_000038,ANI95_0001,5,INNER_TRAIN
STRAIN_000039,ANI95_0001,5,INNER_TRAIN
STRAIN_000040,ANI95_0001,5,INNER_TRAIN
STRAIN_000041,ANI95_0001,5,INNER_TRAIN
STRAIN_000042,ANI95_0001,5,INNER_TRAIN
STRAIN_000045,ANI95_0002,5,INNER_TRAIN
STRAIN_000046,ANI95_0002,5,INNER_TRAIN
STRAIN_000047,ANI95_0002,5,INNER_TRAIN
STRAIN_000048,ANI95_0002,5,INNER_TRAIN
STRAIN_000049,ANI95_0002,5,INNER_TRAIN
STRAIN_000050,ANI95_0002,5,INNER_TRAIN
STRAIN_000051,ANI95_0002,5,INNER_TRAIN
STRAIN_000052,ANI95_0002,5,INNER_TRAIN
STRAIN_000053,ANI95_0002,5,INNER_TRAIN
STRAIN_000054,ANI95_0002,5,INNER_TRAIN
STRAIN_000055,ANI95_0002,5,INNER_TRAIN
STRAIN_000056,ANI95_0003,5,INNER_TRAIN
STRAIN_000057,ANI95_0008,5,INNER_TRAIN
STRAIN_000060,ANI95_0001,5,INNER_TRAIN
STRAIN_000062,ANI95_0012,5,INNER_TRAIN
STRAIN_000064,ANI95_0008,5,INNER_TRAIN
STRAIN_000066,ANI95_0001,5,INNER_TRAIN
STRAIN_000070,ANI95_0003,5,INNER_TRAIN
STRAIN_000073,ANI95_0008,5,INNER_TRAIN
STRAIN_000077,ANI95_0002,5,INNER_TRAIN
STRAIN_000078,ANI95_0002,5,INNER_TRAIN
STRAIN_000079,ANI95_0002,5,INNER_TRAIN
STRAIN_000080,ANI95_0015,5,INNER_TRAIN
STRAIN_000081,ANI95_0015,5,INNER_TRAIN
STRAIN_000090,ANI95_0003,5,INNER_TRAIN
STRAIN_000091,ANI95_0003,5,INNER_TRAIN
STRAIN_000092,ANI95_0001,5,INNER_TRAIN
STRAIN_000095,ANI95_0002,5,INNER_TRAIN
STRAIN_000096,ANI95_0024,5,INNER_TRAIN
STRAIN_000097,ANI95_0040,5,INNER_TRAIN
STRAIN_000098,ANI95_0008,5,INNER_TRAIN
STRAIN_000099,ANI95_0041,5,INNER_TRAIN
STRAIN_000100,ANI95_0002,5,INNER_TRAIN
STRAIN_000101,ANI95_0042,5,INNER_TRAIN
STRAIN_000103,ANI95_0002,5,INNER_TRAIN
STRAIN_000105,ANI95_0015,5,INNER_TRAIN
STRAIN_000106,ANI95_0043,5,INNER_TRAIN
STRAIN_000109,ANI95_0016,5,INNER_TRAIN
STRAIN_000111,ANI95_0045,5,INNER_TRAIN
STRAIN_000112,ANI95_0003,5,INNER_TRAIN
STRAIN_000117,ANI95_0048,5,INNER_TRAIN
STRAIN_000118,ANI95_0049,5,INNER_TRAIN
STRAIN_000119,ANI95_0019,5,INNER_TRAIN
STRAIN_000122,ANI95_0009,5,INNER_TRAIN
STRAIN_000124,ANI95_0027,5,INNER_TRAIN
STRAIN_000126,ANI95_0015,5,INNER_TRAIN
STRAIN_000127,ANI95_0017,5,INNER_TRAIN
STRAIN_000130,ANI95_0052,5,INNER_TRAIN
STRAIN_000131,ANI95_0053,5,INNER_TRAIN
STRAIN_000134,ANI95_0055,5,INNER_TRAIN
STRAIN_000135,ANI95_0002,5,INNER_TRAIN
STRAIN_000136,ANI95_0056,5,INNER_TRAIN
STRAIN_000137,ANI95_0011,5,INNER_TRAIN
STRAIN_000138,ANI95_0011,5,INNER_TRAIN
STRAIN_000139,ANI95_0011,5,INNER_TRAIN
STRAIN_000140,ANI95_0001,5,INNER_TRAIN
STRAIN_000142,ANI95_0058,5,INNER_TRAIN
STRAIN_000143,ANI95_0023,5,INNER_TRAIN
STRAIN_000144,ANI95_0008,5,INNER_TRAIN
STRAIN_000145,ANI95_0011,5,INNER_TRAIN
STRAIN_000147,ANI95_0060,5,INNER_TRAIN
STRAIN_000148,ANI95_0061,5,INNER_TRAIN
STRAIN_000150,ANI95_0003,5,INNER_TRAIN
STRAIN_000151,ANI95_0003,5,INNER_TRAIN
STRAIN_000152,ANI95_0062,5,INNER_TRAIN
STRAIN_000153,ANI95_0019,5,INNER_TRAIN
STRAIN_000154,ANI95_0063,5,INNER_TRAIN
STRAIN_000155,ANI95_0002,5,INNER_TRAIN
STRAIN_000156,ANI95_0011,5,INNER_TRAIN
STRAIN_000157,ANI95_0015,5,INNER_TRAIN
STRAIN_000159,ANI95_0001,5,INNER_TRAIN
STRAIN_000161,ANI95_0023,5,INNER_TRAIN
STRAIN_000162,ANI95_0001,5,INNER_TRAIN
STRAIN_000163,ANI95_0016,5,INNER_TRAIN
STRAIN_000164,ANI95_0065,5,INNER_TRAIN
STRAIN_000167,ANI95_0013,5,INNER_TRAIN
STRAIN_000169,ANI95_0012,5,INNER_TRAIN
STRAIN_000175,ANI95_0013,5,INNER_TRAIN
STRAIN_000176,ANI95_0017,5,INNER_TRAIN
STRAIN_000178,ANI95_0013,5,INNER_TRAIN
STRAIN_000179,ANI95_0002,5,INNER_TRAIN
STRAIN_000181,ANI95_0003,5,INNER_TRAIN
STRAIN_000182,ANI95_0066,5,INNER_TRAIN
STRAIN_000183,ANI95_0019,5,INNER_TRAIN
STRAIN_000187,ANI95_0017,5,INNER_TRAIN
STRAIN_000188,ANI95_0019,5,INNER_TRAIN
STRAIN_000189,ANI95_0008,5,INNER_TRAIN
STRAIN_000193,ANI95_0068,5,INNER_TRAIN
STRAIN_000194,ANI95_0069,5,INNER_TRAIN
STRAIN_000195,ANI95_0070,5,INNER_TRAIN
STRAIN_000196,ANI95_0002,5,INNER_TRAIN
STRAIN_000197,ANI95_0002,5,INNER_TRAIN
STRAIN_000198,ANI95_0071,5,INNER_TRAIN
STRAIN_000199,ANI95_0001,5,INNER_TRAIN
STRAIN_000200,ANI95_0002,5,INNER_TRAIN
STRAIN_000201,ANI95_0072,5,INNER_TRAIN
STRAIN_000202,ANI95_0002,5,INNER_TRAIN
