strain_entity_id,outer_fold,embedding_row
STRAIN_000016,3,0
STRAIN_000056,3,1
STRAIN_000057,3,2
STRAIN_000062,3,3
STRAIN_000064,3,4
STRAIN_000070,3,5
STRAIN_000073,3,6
STRAIN_000080,3,7
STRAIN_000081,3,8
STRAIN_000090,3,9
STRAIN_000091,3,10
STRAIN_000098,3,11
STRAIN_000101,3,12
STRAIN_000105,3,13
STRAIN_000106,3,14
STRAIN_000112,3,15
STRAIN_000119,3,16
STRAIN_000121,3,17
STRAIN_000124,3,18
STRAIN_000126,3,19
STRAIN_000130,3,20
STRAIN_000131,3,21
STRAIN_000136,3,22
STRAIN_000144,3,23
STRAIN_000147,3,24
STRAIN_000148,3,25
STRAIN_000150,3,26
STRAIN_000151,3,27
STRAIN_000152,3,28
STRAIN_000153,3,29
STRAIN_000157,3,30
STRAIN_000169,3,31
STRAIN_000181,3,32
STRAIN_000183,3,33
STRAIN_000188,3,34
STRAIN_000189,3,35
STRAIN_000193,3,36
STRAIN_000204,3,37
STRAIN_000208,3,38
STRAIN_000209,3,39
STRAIN_000211,3,40
STRAIN_000213,3,41
STRAIN_000224,3,42
STRAIN_000229,3,43
STRAIN_000234,3,44
STRAIN_000247,3,45
STRAIN_000248,3,46
STRAIN_000255,3,47
STRAIN_000262,3,48
STRAIN_000263,3,49
STRAIN_000264,3,50
STRAIN_000267,3,51
STRAIN_000273,3,52
STRAIN_000274,3,53
STRAIN_000275,3,54
STRAIN_000281,3,55
STRAIN_000289,3,56
STRAIN_000299,3,57
STRAIN_000307,3,58
STRAIN_000319,3,59
STRAIN_000320,3,60
STRAIN_000324,3,61
STRAIN_000326,3,62
STRAIN_000335,3,63
STRAIN_000350,3,64
STRAIN_000353,3,65
STRAIN_000357,3,66
STRAIN_000367,3,67
STRAIN_000375,3,68
STRAIN_000382,3,69
STRAIN_000383,3,70
STRAIN_000389,3,71
STRAIN_000401,3,72
STRAIN_000402,3,73
STRAIN_000419,3,74
STRAIN_000421,3,75
STRAIN_000428,3,76
STRAIN_000431,3,77
STRAIN_000445,3,78
STRAIN_000446,3,79
STRAIN_000447,3,80
STRAIN_000449,3,81
STRAIN_000450,3,82
STRAIN_000455,3,83
STRAIN_000457,3,84
STRAIN_000458,3,85
STRAIN_000459,3,86
STRAIN_000460,3,87
STRAIN_000461,3,88
STRAIN_000462,3,89
STRAIN_000463,3,90
STRAIN_000464,3,91
STRAIN_000465,3,92
STRAIN_000466,3,93
STRAIN_000467,3,94
STRAIN_000468,3,95
STRAIN_000469,3,96
STRAIN_000477,3,97
STRAIN_000478,3,98
STRAIN_000494,3,99
STRAIN_000503,3,100
STRAIN_000506,3,101
STRAIN_000507,3,102
STRAIN_000516,3,103
STRAIN_000520,3,104
STRAIN_000521,3,105
STRAIN_000524,3,106
STRAIN_000529,3,107
STRAIN_000536,3,108
STRAIN_000542,3,109
STRAIN_000543,3,110
STRAIN_000545,3,111
STRAIN_000551,3,112
STRAIN_000554,3,113
STRAIN_000559,3,114
STRAIN_000560,3,115
STRAIN_000580,3,116
STRAIN_000599,3,117
STRAIN_000610,3,118
STRAIN_000622,3,119
STRAIN_000626,3,120
STRAIN_000633,3,121
STRAIN_000635,3,122
STRAIN_000639,3,123
STRAIN_000650,3,124
STRAIN_000651,3,125
STRAIN_000652,3,126
STRAIN_000654,3,127
STRAIN_000657,3,128
STRAIN_000658,3,129
STRAIN_000668,3,130
STRAIN_000687,3,131
STRAIN_000689,3,132
STRAIN_000692,3,133
STRAIN_000696,3,134
STRAIN_000697,3,135
STRAIN_000698,3,136
STRAIN_000699,3,137
STRAIN_000700,3,138
STRAIN_000705,3,139
STRAIN_000709,3,140
STRAIN_000711,3,141
STRAIN_000714,3,142
STRAIN_000720,3,143
STRAIN_000723,3,144
STRAIN_000733,3,145
STRAIN_000739,3,146
STRAIN_000740,3,147
STRAIN_000750,3,148
STRAIN_000766,3,149
STRAIN_000777,3,150
STRAIN_000784,3,151
STRAIN_000787,3,152
STRAIN_000794,3,153
STRAIN_000800,3,154
STRAIN_000812,3,155
STRAIN_000814,3,156
STRAIN_000820,3,157
STRAIN_000825,3,158
STRAIN_000826,3,159
STRAIN_000827,3,160
STRAIN_000855,3,161
STRAIN_000858,3,162
STRAIN_000869,3,163
STRAIN_000873,3,164
STRAIN_000874,3,165
STRAIN_000876,3,166
STRAIN_000879,3,167
STRAIN_000889,3,168
STRAIN_000893,3,169
STRAIN_000901,3,170
STRAIN_000903,3,171
STRAIN_000904,3,172
STRAIN_000910,3,173
STRAIN_000914,3,174
STRAIN_000925,3,175
STRAIN_000930,3,176
STRAIN_000940,3,177
STRAIN_000943,3,178
STRAIN_000947,3,179
STRAIN_000950,3,180
STRAIN_000955,3,181
STRAIN_000998,3,182
STRAIN_001008,3,183
STRAIN_001016,3,184
STRAIN_001022,3,185
