strain_entity_id,outer_fold,embedding_row
STRAIN_000004,4,0
STRAIN_000005,4,1
STRAIN_000006,4,2
STRAIN_000024,4,3
STRAIN_000109,4,4
STRAIN_000114,4,5
STRAIN_000115,4,6
STRAIN_000117,4,7
STRAIN_000118,4,8
STRAIN_000123,4,9
STRAIN_000125,4,10
STRAIN_000132,4,11
STRAIN_000133,4,12
STRAIN_000143,4,13
STRAIN_000149,4,14
STRAIN_000154,4,15
STRAIN_000161,4,16
STRAIN_000163,4,17
STRAIN_000164,4,18
STRAIN_000167,4,19
STRAIN_000168,4,20
STRAIN_000175,4,21
STRAIN_000178,4,22
STRAIN_000184,4,23
STRAIN_000190,4,24
STRAIN_000191,4,25
STRAIN_000195,4,26
STRAIN_000201,4,27
STRAIN_000203,4,28
STRAIN_000216,4,29
STRAIN_000218,4,30
STRAIN_000219,4,31
STRAIN_000220,4,32
STRAIN_000227,4,33
STRAIN_000228,4,34
STRAIN_000230,4,35
STRAIN_000232,4,36
STRAIN_000239,4,37
STRAIN_000243,4,38
STRAIN_000249,4,39
STRAIN_000252,4,40
STRAIN_000268,4,41
STRAIN_000269,4,42
STRAIN_000270,4,43
STRAIN_000271,4,44
STRAIN_000276,4,45
STRAIN_000277,4,46
STRAIN_000278,4,47
STRAIN_000280,4,48
STRAIN_000283,4,49
STRAIN_000286,4,50
STRAIN_000294,4,51
STRAIN_000295,4,52
STRAIN_000297,4,53
STRAIN_000304,4,54
STRAIN_000306,4,55
STRAIN_000311,4,56
STRAIN_000312,4,57
STRAIN_000315,4,58
STRAIN_000316,4,59
STRAIN_000321,4,60
STRAIN_000322,4,61
STRAIN_000329,4,62
STRAIN_000334,4,63
STRAIN_000339,4,64
STRAIN_000343,4,65
STRAIN_000345,4,66
STRAIN_000346,4,67
STRAIN_000347,4,68
STRAIN_000348,4,69
STRAIN_000349,4,70
STRAIN_000351,4,71
STRAIN_000354,4,72
STRAIN_000358,4,73
STRAIN_000359,4,74
STRAIN_000364,4,75
STRAIN_000366,4,76
STRAIN_000371,4,77
STRAIN_000379,4,78
STRAIN_000391,4,79
STRAIN_000392,4,80
STRAIN_000408,4,81
STRAIN_000411,4,82
STRAIN_000415,4,83
STRAIN_000430,4,84
STRAIN_000433,4,85
STRAIN_000452,4,86
STRAIN_000470,4,87
STRAIN_000471,4,88
STRAIN_000474,4,89
STRAIN_000484,4,90
STRAIN_000497,4,91
STRAIN_000498,4,92
STRAIN_000500,4,93
STRAIN_000509,4,94
STRAIN_000510,4,95
STRAIN_000522,4,96
STRAIN_000525,4,97
STRAIN_000526,4,98
STRAIN_000527,4,99
STRAIN_000528,4,100
STRAIN_000530,4,101
STRAIN_000534,4,102
STRAIN_000539,4,103
STRAIN_000540,4,104
STRAIN_000553,4,105
STRAIN_000561,4,106
STRAIN_000581,4,107
STRAIN_000587,4,108
STRAIN_000597,4,109
STRAIN_000600,4,110
STRAIN_000602,4,111
STRAIN_000627,4,112
STRAIN_000629,4,113
STRAIN_000634,4,114
STRAIN_000647,4,115
STRAIN_000649,4,116
STRAIN_000653,4,117
STRAIN_000663,4,118
STRAIN_000665,4,119
STRAIN_000666,4,120
STRAIN_000671,4,121
STRAIN_000672,4,122
STRAIN_000676,4,123
STRAIN_000684,4,124
STRAIN_000688,4,125
STRAIN_000702,4,126
STRAIN_000708,4,127
STRAIN_000715,4,128
STRAIN_000717,4,129
STRAIN_000728,4,130
STRAIN_000729,4,131
STRAIN_000732,4,132
STRAIN_000735,4,133
STRAIN_000736,4,134
STRAIN_000738,4,135
STRAIN_000757,4,136
STRAIN_000761,4,137
STRAIN_000762,4,138
STRAIN_000764,4,139
STRAIN_000769,4,140
STRAIN_000770,4,141
STRAIN_000771,4,142
STRAIN_000772,4,143
STRAIN_000773,4,144
STRAIN_000774,4,145
STRAIN_000775,4,146
STRAIN_000776,4,147
STRAIN_000783,4,148
STRAIN_000788,4,149
STRAIN_000795,4,150
STRAIN_000799,4,151
STRAIN_000801,4,152
STRAIN_000804,4,153
STRAIN_000805,4,154
STRAIN_000807,4,155
STRAIN_000811,4,156
STRAIN_000816,4,157
STRAIN_000819,4,158
STRAIN_000821,4,159
STRAIN_000823,4,160
STRAIN_000824,4,161
STRAIN_000831,4,162
STRAIN_000839,4,163
STRAIN_000840,4,164
STRAIN_000845,4,165
STRAIN_000847,4,166
STRAIN_000851,4,167
STRAIN_000853,4,168
STRAIN_000866,4,169
STRAIN_000867,4,170
STRAIN_000878,4,171
STRAIN_000886,4,172
STRAIN_000894,4,173
STRAIN_000908,4,174
STRAIN_000912,4,175
STRAIN_000915,4,176
STRAIN_000917,4,177
STRAIN_000918,4,178
STRAIN_000919,4,179
STRAIN_000921,4,180
STRAIN_000923,4,181
STRAIN_000929,4,182
STRAIN_000953,4,183
STRAIN_000985,4,184
STRAIN_001009,4,185
