strain_entity_id,outer_fold,embedding_row
STRAIN_000025,2,0
STRAIN_000026,2,1
STRAIN_000027,2,2
STRAIN_000045,2,3
STRAIN_000046,2,4
STRAIN_000047,2,5
STRAIN_000049,2,6
STRAIN_000050,2,7
STRAIN_000051,2,8
STRAIN_000052,2,9
STRAIN_000053,2,10
STRAIN_000054,2,11
STRAIN_000055,2,12
STRAIN_000060,2,13
STRAIN_000066,2,14
STRAIN_000073,2,15
STRAIN_000078,2,16
STRAIN_000100,2,17
STRAIN_000101,2,18
STRAIN_000109,2,19
STRAIN_000126,2,20
STRAIN_000128,2,21
STRAIN_000136,2,22
STRAIN_000137,2,23
STRAIN_000138,2,24
STRAIN_000139,2,25
STRAIN_000140,2,26
STRAIN_000141,2,27
STRAIN_000144,2,28
STRAIN_000145,2,29
STRAIN_000156,2,30
STRAIN_000160,2,31
STRAIN_000171,2,32
STRAIN_000176,2,33
STRAIN_000179,2,34
STRAIN_000195,2,35
STRAIN_000200,2,36
STRAIN_000201,2,37
STRAIN_000204,2,38
STRAIN_000205,2,39
STRAIN_000206,2,40
STRAIN_000210,2,41
STRAIN_000212,2,42
STRAIN_000213,2,43
STRAIN_000220,2,44
STRAIN_000222,2,45
STRAIN_000223,2,46
STRAIN_000225,2,47
STRAIN_000226,2,48
STRAIN_000227,2,49
STRAIN_000232,2,50
STRAIN_000242,2,51
STRAIN_000246,2,52
STRAIN_000247,2,53
STRAIN_000253,2,54
STRAIN_000258,2,55
STRAIN_000262,2,56
STRAIN_000264,2,57
STRAIN_000272,2,58
STRAIN_000275,2,59
STRAIN_000279,2,60
STRAIN_000280,2,61
STRAIN_000282,2,62
STRAIN_000291,2,63
STRAIN_000292,2,64
STRAIN_000294,2,65
STRAIN_000300,2,66
STRAIN_000306,2,67
STRAIN_000309,2,68
STRAIN_000310,2,69
STRAIN_000313,2,70
STRAIN_000315,2,71
STRAIN_000316,2,72
STRAIN_000319,2,73
STRAIN_000320,2,74
STRAIN_000344,2,75
STRAIN_000351,2,76
STRAIN_000356,2,77
STRAIN_000360,2,78
STRAIN_000361,2,79
STRAIN_000363,2,80
STRAIN_000366,2,81
STRAIN_000377,2,82
STRAIN_000378,2,83
STRAIN_000386,2,84
STRAIN_000391,2,85
STRAIN_000402,2,86
STRAIN_000407,2,87
STRAIN_000413,2,88
STRAIN_000415,2,89
STRAIN_000421,2,90
STRAIN_000424,2,91
STRAIN_000425,2,92
STRAIN_000427,2,93
STRAIN_000434,2,94
STRAIN_000439,2,95
STRAIN_000446,2,96
STRAIN_000449,2,97
STRAIN_000450,2,98
STRAIN_000466,2,99
STRAIN_000473,2,100
STRAIN_000474,2,101
STRAIN_000485,2,102
STRAIN_000491,2,103
STRAIN_000514,2,104
STRAIN_000546,2,105
STRAIN_000551,2,106
STRAIN_000553,2,107
STRAIN_000557,2,108
STRAIN_000558,2,109
STRAIN_000577,2,110
STRAIN_000578,2,111
STRAIN_000582,2,112
STRAIN_000585,2,113
STRAIN_000587,2,114
STRAIN_000591,2,115
STRAIN_000595,2,116
STRAIN_000596,2,117
STRAIN_000598,2,118
STRAIN_000604,2,119
STRAIN_000615,2,120
STRAIN_000626,2,121
STRAIN_000627,2,122
STRAIN_000634,2,123
STRAIN_000637,2,124
STRAIN_000639,2,125
STRAIN_000642,2,126
STRAIN_000643,2,127
STRAIN_000647,2,128
STRAIN_000651,2,129
STRAIN_000658,2,130
STRAIN_000665,2,131
STRAIN_000675,2,132
STRAIN_000681,2,133
STRAIN_000696,2,134
STRAIN_000702,2,135
STRAIN_000713,2,136
STRAIN_000719,2,137
STRAIN_000728,2,138
STRAIN_000729,2,139
STRAIN_000735,2,140
STRAIN_000737,2,141
STRAIN_000743,2,142
STRAIN_000744,2,143
STRAIN_000745,2,144
STRAIN_000756,2,145
STRAIN_000761,2,146
STRAIN_000762,2,147
STRAIN_000766,2,148
STRAIN_000768,2,149
STRAIN_000780,2,150
STRAIN_000783,2,151
STRAIN_000785,2,152
STRAIN_000794,2,153
STRAIN_000796,2,154
STRAIN_000803,2,155
STRAIN_000806,2,156
STRAIN_000812,2,157
STRAIN_000818,2,158
STRAIN_000834,2,159
STRAIN_000840,2,160
STRAIN_000855,2,161
STRAIN_000856,2,162
STRAIN_000857,2,163
STRAIN_000859,2,164
STRAIN_000866,2,165
STRAIN_000869,2,166
STRAIN_000874,2,167
STRAIN_000881,2,168
STRAIN_000882,2,169
STRAIN_000883,2,170
STRAIN_000893,2,171
STRAIN_000900,2,172
STRAIN_000903,2,173
STRAIN_000904,2,174
STRAIN_000905,2,175
STRAIN_000909,2,176
STRAIN_000912,2,177
STRAIN_000919,2,178
STRAIN_000929,2,179
STRAIN_000935,2,180
STRAIN_000941,2,181
STRAIN_000942,2,182
STRAIN_000951,2,183
STRAIN_000969,2,184
STRAIN_000976,2,185
STRAIN_000977,2,186
STRAIN_000979,2,187
STRAIN_000995,2,188
STRAIN_001015,2,189
