strain_entity_id,outer_fold,embedding_row
STRAIN_000001,3,0
STRAIN_000031,3,1
STRAIN_000040,3,2
STRAIN_000044,3,3
STRAIN_000083,3,4
STRAIN_000090,3,5
STRAIN_000095,3,6
STRAIN_000099,3,7
STRAIN_000106,3,8
STRAIN_000108,3,9
STRAIN_000110,3,10
STRAIN_000112,3,11
STRAIN_000124,3,12
STRAIN_000127,3,13
STRAIN_000131,3,14
STRAIN_000133,3,15
STRAIN_000150,3,16
STRAIN_000155,3,17
STRAIN_000159,3,18
STRAIN_000163,3,19
STRAIN_000170,3,20
STRAIN_000175,3,21
STRAIN_000177,3,22
STRAIN_000196,3,23
STRAIN_000197,3,24
STRAIN_000198,3,25
STRAIN_000207,3,26
STRAIN_000211,3,27
STRAIN_000214,3,28
STRAIN_000216,3,29
STRAIN_000229,3,30
STRAIN_000234,3,31
STRAIN_000237,3,32
STRAIN_000244,3,33
STRAIN_000248,3,34
STRAIN_000259,3,35
STRAIN_000273,3,36
STRAIN_000277,3,37
STRAIN_000278,3,38
STRAIN_000290,3,39
STRAIN_000296,3,40
STRAIN_000301,3,41
STRAIN_000303,3,42
STRAIN_000312,3,43
STRAIN_000318,3,44
STRAIN_000322,3,45
STRAIN_000326,3,46
STRAIN_000338,3,47
STRAIN_000340,3,48
STRAIN_000352,3,49
STRAIN_000359,3,50
STRAIN_000362,3,51
STRAIN_000367,3,52
STRAIN_000374,3,53
STRAIN_000375,3,54
STRAIN_000376,3,55
STRAIN_000388,3,56
STRAIN_000416,3,57
STRAIN_000419,3,58
STRAIN_000423,3,59
STRAIN_000428,3,60
STRAIN_000435,3,61
STRAIN_000437,3,62
STRAIN_000440,3,63
STRAIN_000447,3,64
STRAIN_000448,3,65
STRAIN_000451,3,66
STRAIN_000453,3,67
STRAIN_000454,3,68
STRAIN_000457,3,69
STRAIN_000458,3,70
STRAIN_000459,3,71
STRAIN_000463,3,72
STRAIN_000470,3,73
STRAIN_000475,3,74
STRAIN_000478,3,75
STRAIN_000483,3,76
STRAIN_000484,3,77
STRAIN_000488,3,78
STRAIN_000489,3,79
STRAIN_000494,3,80
STRAIN_000496,3,81
STRAIN_000501,3,82
STRAIN_000502,3,83
STRAIN_000506,3,84
STRAIN_000511,3,85
STRAIN_000512,3,86
STRAIN_000515,3,87
STRAIN_000524,3,88
STRAIN_000533,3,89
STRAIN_000541,3,90
STRAIN_000544,3,91
STRAIN_000547,3,92
STRAIN_000548,3,93
STRAIN_000549,3,94
STRAIN_000552,3,95
STRAIN_000554,3,96
STRAIN_000562,3,97
STRAIN_000569,3,98
STRAIN_000570,3,99
STRAIN_000581,3,100
STRAIN_000583,3,101
STRAIN_000594,3,102
STRAIN_000597,3,103
STRAIN_000599,3,104
STRAIN_000602,3,105
STRAIN_000603,3,106
STRAIN_000623,3,107
STRAIN_000632,3,108
STRAIN_000633,3,109
STRAIN_000640,3,110
STRAIN_000649,3,111
STRAIN_000653,3,112
STRAIN_000654,3,113
STRAIN_000657,3,114
STRAIN_000661,3,115
STRAIN_000664,3,116
STRAIN_000667,3,117
STRAIN_000669,3,118
STRAIN_000670,3,119
STRAIN_000674,3,120
STRAIN_000678,3,121
STRAIN_000685,3,122
STRAIN_000689,3,123
STRAIN_000690,3,124
STRAIN_000692,3,125
STRAIN_000695,3,126
STRAIN_000704,3,127
STRAIN_000705,3,128
STRAIN_000710,3,129
STRAIN_000711,3,130
STRAIN_000715,3,131
STRAIN_000718,3,132
STRAIN_000720,3,133
STRAIN_000723,3,134
STRAIN_000726,3,135
STRAIN_000730,3,136
STRAIN_000733,3,137
STRAIN_000741,3,138
STRAIN_000750,3,139
STRAIN_000767,3,140
STRAIN_000770,3,141
STRAIN_000771,3,142
STRAIN_000772,3,143
STRAIN_000773,3,144
STRAIN_000775,3,145
STRAIN_000776,3,146
STRAIN_000791,3,147
STRAIN_000793,3,148
STRAIN_000797,3,149
STRAIN_000801,3,150
STRAIN_000802,3,151
STRAIN_000808,3,152
STRAIN_000825,3,153
STRAIN_000828,3,154
STRAIN_000830,3,155
STRAIN_000839,3,156
STRAIN_000841,3,157
STRAIN_000850,3,158
STRAIN_000853,3,159
STRAIN_000858,3,160
STRAIN_000861,3,161
STRAIN_000863,3,162
STRAIN_000868,3,163
STRAIN_000871,3,164
STRAIN_000873,3,165
STRAIN_000878,3,166
STRAIN_000884,3,167
STRAIN_000886,3,168
STRAIN_000887,3,169
STRAIN_000889,3,170
STRAIN_000891,3,171
STRAIN_000895,3,172
STRAIN_000898,3,173
STRAIN_000902,3,174
STRAIN_000910,3,175
STRAIN_000916,3,176
STRAIN_000923,3,177
STRAIN_000926,3,178
STRAIN_000927,3,179
STRAIN_000938,3,180
STRAIN_000939,3,181
STRAIN_000943,3,182
STRAIN_000945,3,183
STRAIN_000947,3,184
STRAIN_000948,3,185
STRAIN_000952,3,186
STRAIN_000953,3,187
STRAIN_000964,3,188
STRAIN_000989,3,189
STRAIN_000990,3,190
STRAIN_001010,3,191
STRAIN_001011,3,192
STRAIN_001012,3,193
STRAIN_001022,3,194
